Title,Director,Stars,IMDb-Rating,Genres,Duration,Censor-board-rating,ReleaseYear
Top Gun: Maverick,JosephKosinski,"TomCruise, JenniferConnelly, MilesTeller, ValKilmer",8.6,"Action,Drama",130min,UA,2022
Everything Everywhere All at Once,"DanKwan,",", MichelleYeoh, StephanieHsu, KeHuyQuan, JamesHong",8.3,"Action,Adventure,Comedy",139min,R,2022
The Batman,MattReeves,"RobertPattinson, ZoëKravitz, JeffreyWright, ColinFarrell",7.9,"Action,Crime,Drama",176min,UA,2022
Jurassic Park,StevenSpielberg,"SamNeill, LauraDern, JeffGoldblum, RichardAttenborough",8.2,"Action,Adventure,Sci-Fi",127min,UA,1993
The Godfather,FrancisFordCoppola,"MarlonBrando, AlPacino, JamesCaan, DianeKeaton",9.2,"Crime,Drama",175min,A,1972
Spider-Man: No Way Home,JonWatts,"TomHolland, Zendaya, BenedictCumberbatch, JacobBatalon",8.3,"Action,Adventure,Fantasy",148min,UA,2021
RRR (Rise Roar Revolt),S.S.Rajamouli,"N.T.RamaRaoJr., RamCharan, AjayDevgn, AliaBhatt",8.1,"Action,Drama",187min,UA,2022
Pirates of the Caribbean: The Curse of the Black Pearl,GoreVerbinski,"JohnnyDepp, GeoffreyRush, OrlandoBloom, KeiraKnightley",8.1,"Action,Adventure,Fantasy",143min,UA,2003
Dune: Part One,DenisVilleneuve,"TimothéeChalamet, RebeccaFerguson, Zendaya, OscarIsaac",8,"Action,Adventure,Drama",155min,UA,2021
Goodfellas,MartinScorsese,"RobertDeNiro, RayLiotta, JoePesci, LorraineBracco",8.7,"Biography,Crime,Drama",145min,A,1990
The Shawshank Redemption,FrankDarabont,"TimRobbins, MorganFreeman, BobGunton, WilliamSadler",9.3,Drama,142min,A,1994
Star Wars,GeorgeLucas,"MarkHamill, HarrisonFord, CarrieFisher, AlecGuinness",8.6,"Action,Adventure,Fantasy",121min,U,1977
Titanic,JamesCameron,"LeonardoDiCaprio, KateWinslet, BillyZane, KathyBates",7.9,"Drama,Romance",194min,UA,1997
Harry Potter and the Sorcerers Stone,ChrisColumbus,"DanielRadcliffe, RupertGrint, RichardHarris, MaggieSmith",7.6,"Adventure,Family,Fantasy",152min,U,2001
Once Upon a Time in... Hollywood,QuentinTarantino,"LeonardoDiCaprio, BradPitt, MargotRobbie, EmileHirsch",7.6,"Comedy,Drama",161min,A,2019
The Goonies,RichardDonner,"SeanAstin, JoshBrolin, JeffCohen, CoreyFeldman",7.7,"Adventure,Comedy,Family",114min,U,1985
American Psycho,MaryHarron,"ChristianBale, JustinTheroux, JoshLucas, BillSage",7.6,"Crime,Drama,Horror",102min,A,2000
Avengers: Endgame,"AnthonyRusso,",", RobertDowneyJr., ChrisEvans, MarkRuffalo, ChrisHemsworth",8.4,"Action,Adventure,Drama",181min,UA,2019
Star Wars: Episode III - Revenge of the Sith,GeorgeLucas,"HaydenChristensen, NataliePortman, EwanMcGregor, SamuelL.Jackson",7.6,"Action,Adventure,Fantasy",140min,U,2005
The Gentlemen,GuyRitchie,"MatthewMcConaughey, CharlieHunnam, MichelleDockery, JeremyStrong",7.8,"Action,Comedy,Crime",113min,A,2019
Whiplash,DamienChazelle,"MilesTeller, J.K.Simmons, MelissaBenoist, PaulReiser",8.5,"Drama,Music",106min,A,2014
The Dark Knight,ChristopherNolan,"ChristianBale, HeathLedger, AaronEckhart, MichaelCaine",9,"Action,Crime,Drama",152min,UA,2008
Interstellar,ChristopherNolan,"MatthewMcConaughey, AnneHathaway, JessicaChastain, MackenzieFoy",8.6,"Adventure,Drama,Sci-Fi",169min,UA,2014
Joker,ToddPhillips,"JoaquinPhoenix, RobertDeNiro, ZazieBeetz, FrancesConroy",8.4,"Crime,Drama,Thriller",122min,A,2019
Knives Out,RianJohnson,"DanielCraig, ChrisEvans, AnadeArmas, JamieLeeCurtis",7.9,"Comedy,Crime,Drama",130min,UA,2019
CODA,SianHeder,"EmiliaJones, MarleeMatlin, TroyKotsur, DanielDurant",8,"Comedy,Drama,Music",111min,A,2021
The Fifth Element,LucBesson,"BruceWillis, MillaJovovich, GaryOldman, IanHolm",7.6,"Action,Adventure,Sci-Fi",126min,UA,1997
Verdens verste menneske,JoachimTrier,"RenateReinsve, AndersDanielsenLie, HerbertNordrum, HansOlavBrenner",7.9,"Comedy,Drama,Romance",128min,R,2021
Avatar,JamesCameron,"SamWorthington, ZoeSaldana, SigourneyWeaver, MichelleRodriguez",7.8,"Action,Adventure,Fantasy",162min,UA,2009
Mission: Impossible - Fallout,ChristopherMcQuarrie,"TomCruise, HenryCavill, VingRhames, SimonPegg",7.7,"Action,Adventure,Thriller",147min,U/A,2018
Inception,ChristopherNolan,"LeonardoDiCaprio, JosephGordon-Levitt, ElliotPage, KenWatanabe",8.8,"Action,Adventure,Sci-Fi",148min,UA,2010
The Departed,MartinScorsese,"LeonardoDiCaprio, MattDamon, JackNicholson, MarkWahlberg",8.5,"Crime,Drama,Thriller",151min,A,2006
K.G.F: Chapter 2,PrashanthNeel,"Yash, SanjayDutt, RaveenaTandon, SrinidhiShetty",8.6,"Action,Crime,Drama",168min,UA,2022
Saving Private Ryan,StevenSpielberg,"TomHanks, MattDamon, TomSizemore, EdwardBurns",8.6,"Drama,War",169min,A,1998
1917,SamMendes,"Dean-CharlesChapman, GeorgeMacKay, DanielMays, ColinFirth",8.2,"Action,Drama,War",119min,R,2019
Forrest Gump,RobertZemeckis,"TomHanks, RobinWright, GarySinise, SallyField",8.8,"Drama,Romance",142min,UA,1994
The Grand Budapest Hotel,WesAnderson,"RalphFiennes, F.MurrayAbraham, MathieuAmalric, AdrienBrody",8.1,"Adventure,Comedy,Crime",99min,UA,2014
Pulp Fiction,QuentinTarantino,"JohnTravolta, UmaThurman, SamuelL.Jackson, BruceWillis",8.9,"Crime,Drama",154min,A,1994
The Wolf of Wall Street,MartinScorsese,"LeonardoDiCaprio, JonahHill, MargotRobbie, MatthewMcConaughey",8.2,"Biography,Comedy,Crime",180min,A,2013
Requiem for a Dream,DarrenAronofsky,"EllenBurstyn, JaredLeto, JenniferConnelly, MarlonWayans",8.3,Drama,102min,A,2000
Heat,MichaelMann,"AlPacino, RobertDeNiro, ValKilmer, JonVoight",8.3,"Action,Crime,Drama",170min,A,1995
Back to the Future,RobertZemeckis,"MichaelJ.Fox, ChristopherLloyd, LeaThompson, CrispinGlover",8.5,"Adventure,Comedy,Sci-Fi",116min,U,1985
Blade Runner 2049,DenisVilleneuve,"HarrisonFord, RyanGosling, AnadeArmas, DaveBautista",8,"Action,Drama,Mystery",164min,UA,2017
Taxi Driver,MartinScorsese,"RobertDeNiro, JodieFoster, CybillShepherd, AlbertBrooks",8.2,"Crime,Drama",114min,A,1976
Fight Club,DavidFincher,"BradPitt, EdwardNorton, MeatLoaf, ZachGrenier",8.8,Drama,139min,A,1999
Rogue One,GarethEdwards,"FelicityJones, DiegoLuna, AlanTudyk, DonnieYen",7.8,"Action,Adventure,Sci-Fi",133min,UA,2016
Watchmen,ZackSnyder,"JackieEarleHaley, PatrickWilson, CarlaGugino, MalinAkerman",7.6,"Action,Drama,Mystery",162min,A,2009
The Godfather Part II,FrancisFordCoppola,"AlPacino, RobertDeNiro, RobertDuvall, DianeKeaton",9,"Crime,Drama",202min,A,1974
Ghostbusters,IvanReitman,"BillMurray, DanAykroyd, SigourneyWeaver, HaroldRamis",7.8,"Action,Comedy,Fantasy",105min,UA,1984
Inglourious Basterds,QuentinTarantino,"BradPitt, DianeKruger, EliRoth, MélanieLaurent",8.3,"Adventure,Drama,War",153min,A,2009
Léon,LucBesson,"JeanReno, GaryOldman, NataliePortman, DannyAiello",8.5,"Action,Crime,Drama",110min,A,1994
Schindlers List,StevenSpielberg,"LiamNeeson, RalphFiennes, BenKingsley, CarolineGoodall",9,"Biography,Drama,History",195min,A,1993
The Lord of the Rings: The Fellowship of the Ring,PeterJackson,"ElijahWood, IanMcKellen, OrlandoBloom, SeanBean",8.8,"Action,Adventure,Drama",178min,U,2001
The Silence of the Lambs,JonathanDemme,"JodieFoster, AnthonyHopkins, LawrenceA.Bonney, KasiLemmons",8.6,"Crime,Drama,Thriller",118min,A,1991
Avengers: Infinity War,"AnthonyRusso,",", RobertDowneyJr., ChrisHemsworth, MarkRuffalo, ChrisEvans",8.4,"Action,Adventure,Sci-Fi",149min,UA,2018
Gisaengchung,BongJoonHo,"SongKang-ho, Sun-kyunLee, ChoYeo-jeong, ChoiWoo-sik",8.5,"Comedy,Drama,Thriller",132min,A,2019
Paddington 2,PaulKing,"BenWhishaw, HughGrant, HughBonneville, SallyHawkins",7.8,"Adventure,Comedy,Family",103min,U,2017
The Wizard of Oz,"VictorFleming,","MervynLeRoy, NormanTaurog, RichardThorpe, KingVidor, , JudyGarland, FrankMorgan, RayBolger, BertLahr",8.1,"Adventure,Family,Fantasy",102min,U,1939
Thor: Ragnarok,TaikaWaititi,"ChrisHemsworth, TomHiddleston, CateBlanchett, MarkRuffalo",7.9,"Action,Adventure,Comedy",130min,UA,2017
Tombstone,"GeorgeP.Cosmatos,",", KurtRussell, ValKilmer, SamElliott, BillPaxton",7.8,"Biography,Drama,History",130min,UA,1993
Zack Snyders Justice League,ZackSnyder,"HenryCavill, BenAffleck, GalGadot, AmyAdams",8,"Action,Adventure,Fantasy",242min,18,2021
Edward Scissorhands,TimBurton,"JohnnyDepp, WinonaRyder, DianneWiest, AnthonyMichaelHall",7.9,"Drama,Fantasy,Romance",105min,U,1990
Deadpool,TimMiller,"RyanReynolds, MorenaBaccarin, T.J.Miller, EdSkrein",8,"Action,Adventure,Comedy",108min,R,2016
Bohemian Rhapsody,BryanSinger,"RamiMalek, LucyBoynton, GwilymLee, BenHardy",7.9,"Biography,Drama,Music",134min,UA,2018
Guardians of the Galaxy,JamesGunn,"ChrisPratt, VinDiesel, BradleyCooper, ZoeSaldana",8,"Action,Adventure,Comedy",121min,UA,2014
Alien,RidleyScott,"SigourneyWeaver, TomSkerritt, JohnHurt, VeronicaCartwright",8.5,"Horror,Sci-Fi",117min,R,1979
Star Wars: Episode VII - The Force Awakens,J.J.Abrams,"DaisyRidley, JohnBoyega, OscarIsaac, DomhnallGleeson",7.8,"Action,Adventure,Sci-Fi",138min,U,2015
Django Unchained,QuentinTarantino,"JamieFoxx, ChristophWaltz, LeonardoDiCaprio, KerryWashington",8.4,"Drama,Western",165min,A,2012
Se7en,DavidFincher,"MorganFreeman, BradPitt, KevinSpacey, AndrewKevinWalker",8.6,"Crime,Drama,Mystery",127min,A,1995
Star Wars: Episode VI - Return of the Jedi,RichardMarquand,"MarkHamill, HarrisonFord, CarrieFisher, BillyDeeWilliams",8.3,"Action,Adventure,Fantasy",131min,U,1983
Predator,JohnMcTiernan,"ArnoldSchwarzenegger, CarlWeathers, KevinPeterHall, ElpidiaCarrillo",7.8,"Action,Adventure,Horror",107min,A,1987
Gone Girl,DavidFincher,"BenAffleck, RosamundPike, NeilPatrickHarris, TylerPerry",8.1,"Drama,Mystery,Thriller",149min,A,2014
Get Out,JordanPeele,"DanielKaluuya, AllisonWilliams, BradleyWhitford, CatherineKeener",7.7,"Horror,Mystery,Thriller",104min,15+,2017
Apocalypse Now,FrancisFordCoppola,"MartinSheen, MarlonBrando, RobertDuvall, FredericForrest",8.5,"Drama,Mystery,War",147min,R,1979
300,ZackSnyder,"GerardButler, LenaHeadey, DavidWenham, DominicWest",7.6,"Action,Drama",117min,A,2006
The Empire Strikes Back,IrvinKershner,"MarkHamill, HarrisonFord, CarrieFisher, BillyDeeWilliams",8.7,"Action,Adventure,Fantasy",124min,UA,1980
Kingsman: The Secret Service,MatthewVaughn,"ColinFirth, TaronEgerton, SamuelL.Jackson, MichaelCaine",7.7,"Action,Adventure,Comedy",129min,A,2014
The Matrix,"LanaWachowski,",", KeanuReeves, LaurenceFishburne, Carrie-AnneMoss, HugoWeaving",8.7,"Action,Sci-Fi",136min,A,1999
Gladiator,RidleyScott,"RussellCrowe, JoaquinPhoenix, ConnieNielsen, OliverReed",8.5,"Action,Adventure,Drama",155min,UA,2000
The Breakfast Club,JohnHughes,"EmilioEstevez, JuddNelson, MollyRingwald, AllySheedy",7.8,"Comedy,Drama",97min,UA,1985
Hacksaw Ridge,MelGibson,"AndrewGarfield, SamWorthington, LukeBracey, TeresaPalmer",8.1,"Biography,Drama,History",139min,A,2016
Her,SpikeJonze,"JoaquinPhoenix, AmyAdams, ScarlettJohansson, RooneyMara",8,"Drama,Romance,Sci-Fi",126min,A,2013
The Dark Knight Rises,ChristopherNolan,"ChristianBale, TomHardy, AnneHathaway, GaryOldman",8.4,"Action,Drama",164min,UA,2012
Mad Max: Fury Road,GeorgeMiller,"TomHardy, CharlizeTheron, NicholasHoult, ZoëKravitz",8.1,"Action,Adventure,Sci-Fi",120min,UA,2015
Once Upon a Time in America,SergioLeone,"RobertDeNiro, JamesWoods, ElizabethMcGovern, TreatWilliams",8.3,"Crime,Drama",229min,A,1984
Prisoners,DenisVilleneuve,"HughJackman, JakeGyllenhaal, ViolaDavis, MelissaLeo",8.1,"Crime,Drama,Mystery",153min,A,2013
Call Me by Your Name,LucaGuadagnino,"ArmieHammer, TimothéeChalamet, MichaelStuhlbarg, AmiraCasar",7.8,"Drama,Romance",132min,UA,2017
Ford v Ferrari,JamesMangold,"MattDamon, ChristianBale, JonBernthal, CaitríonaBalfe",8.1,"Action,Biography,Drama",152min,UA,2019
The Irishman,MartinScorsese,"RobertDeNiro, AlPacino, JoePesci, HarveyKeitel",7.8,"Biography,Crime,Drama",209min,16,2019
Black Swan,DarrenAronofsky,"NataliePortman, MilaKunis, VincentCassel, WinonaRyder",8,"Drama,Thriller",108min,A,2010
Full Metal Jacket,StanleyKubrick,"MatthewModine, R.LeeErmey, ""VincentDOnofrio,"", AdamBaldwin",8.3,"Drama,War",116min,UA,1987
Harry Potter and the Deathly Hallows: Part 1,DavidYates,"DanielRadcliffe, EmmaWatson, RupertGrint, BillNighy",7.7,"Adventure,Family,Fantasy",146min,UA,2010
No Country for Old Men,"EthanCoen,",", TommyLeeJones, JavierBardem, JoshBrolin, WoodyHarrelson",8.2,"Crime,Drama,Thriller",122min,18,2007
A Few Good Men,RobReiner,"TomCruise, JackNicholson, DemiMoore, KevinBacon",7.7,"Drama,Thriller",138min,U,1992
Ex Machina,AlexGarland,"AliciaVikander, DomhnallGleeson, OscarIsaac, SonoyaMizuno",7.7,"Drama,Sci-Fi,Thriller",108min,UA,2014
Guardians of the Galaxy Vol. 2,JamesGunn,"ChrisPratt, ZoeSaldana, DaveBautista, VinDiesel",7.6,"Action,Adventure,Comedy",136min,UA,2017
Scarface,BrianDePalma,"AlPacino, MichellePfeiffer, StevenBauer, MaryElizabethMastrantonio",8.3,"Crime,Drama",170min,A,1983
Blade Runner,RidleyScott,"HarrisonFord, RutgerHauer, SeanYoung, EdwardJamesOlmos",8.1,"Action,Drama,Sci-Fi",117min,UA,1982
Aliens,JamesCameron,"SigourneyWeaver, MichaelBiehn, CarrieHenn, PaulReiser",8.4,"Action,Adventure,Sci-Fi",137min,U,1986
Shutter Island,MartinScorsese,"LeonardoDiCaprio, EmilyMortimer, MarkRuffalo, BenKingsley",8.2,"Mystery,Thriller",138min,A,2010
Moneyball,BennettMiller,"BradPitt, RobinWright, JonahHill, PhilipSeymourHoffman",7.6,"Biography,Drama,Sport",133min,13,2011
Deadpool 2,DavidLeitch,"RyanReynolds, JoshBrolin, MorenaBaccarin, JulianDennison",7.7,"Action,Adventure,Comedy",119min,R,2018
Spider-Man: Into the Spider-Verse,"BobPersichetti,","RodneyRothman, , ShameikMoore, JakeJohnson, HaileeSteinfeld, MahershalaAli",8.4,"Animation,Action,Adventure",117min,U,2018
Stand by Me,RobReiner,"WilWheaton, RiverPhoenix, CoreyFeldman, ""JerryOConnell""",8.1,"Adventure,Drama",89min,U,1986
The Princess Bride,RobReiner,"CaryElwes, MandyPatinkin, RobinWright, ChrisSarandon",8,"Adventure,Family,Fantasy",98min,U,1987
The Green Mile,FrankDarabont,"TomHanks, MichaelClarkeDuncan, DavidMorse, BonnieHunt",8.6,"Crime,Drama,Fantasy",189min,UA,1999
Jojo Rabbit,TaikaWaititi,"RomanGriffinDavis, ThomasinMcKenzie, ScarlettJohansson, TaikaWaititi",7.9,"Comedy,Drama,War",108min,UA,2019
